,monthly_rent,property_type,rooms,parking,bathroom,size,furnished,region,AC,Cooking,Internet,Pub_Trsp,No_Afac,Washing_Machine,BBQ,Club_House,Gym,Jog,Lift,Minimart,MP_Hall,No_Fac,Parking,Playground,Sauna,Security,Squash,Pool,Tennis
0,4200.0,2,16,2.0,6.0,1842,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0
1,2300.0,2,12,1.0,2.0,1170,2,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0
2,1000.0,0,12,0.0,2.0,650,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
3,1700.0,0,10,1.0,2.0,743,2,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0
4,1299.0,7,7,1.0,1.0,494,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0
5,1500.0,0,12,1.0,2.0,884,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0
6,2900.0,7,12,2.0,2.0,982,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0
7,1550.0,7,7,1.0,1.0,700,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
8,1400.0,0,10,1.0,1.0,750,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0
9,1350.0,2,12,1.0,2.0,862,2,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0
10,2600.0,7,10,0.0,2.0,868,2,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0
11,2000.0,7,14,2.0,2.0,1100,2,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0
12,1500.0,7,7,1.0,1.0,700,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
13,1300.0,7,12,1.0,2.0,1009,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0
14,1000.0,0,16,0.0,2.0,855,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
15,3200.0,0,12,1.0,2.0,950,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
16,3200.0,0,12,1.0,2.0,950,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
17,1400.0,7,10,2.0,2.0,650,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0
18,2500.0,2,14,2.0,2.0,1784,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
19,1800.0,2,12,1.0,2.0,1100,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1
20,1099.0,7,10,1.0,2.0,650,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0
21,1099.0,7,10,1.0,2.0,650,2,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0
22,1199.0,7,12,1.0,2.0,819,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0
23,1100.0,7,10,1.0,2.0,650,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0
24,1000.0,0,12,0.0,2.0,650,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
25,1100.0,2,7,1.0,1.0,900,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1
26,1400.0,2,12,1.0,2.0,1140,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
27,1500.0,2,12,1.0,2.0,900,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
28,2500.0,2,14,2.0,3.0,1500,2,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0
29,2900.0,2,14,2.0,3.0,1719,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0
30,1750.0,0,12,0.0,2.0,1065,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,1800.0,0,12,1.0,2.0,885,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,1900.0,2,12,2.0,2.0,1300,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,1500.0,8,7,1.0,1.0,530,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0
34,2400.0,2,12,1.0,2.0,1316,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0
35,4500.0,7,12,2.0,2.0,1539,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
36,1400.0,2,12,1.0,2.0,1270,2,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1
37,1800.0,7,12,1.0,2.0,819,2,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0
38,1500.0,0,12,1.0,2.0,950,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
39,3000.0,2,12,2.0,2.0,1200,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0
40,1600.0,2,12,1.0,2.0,1100,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1
41,1800.0,2,12,0.0,2.0,1066,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,2100.0,2,10,0.0,2.0,706,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0
43,2500.0,2,10,1.0,1.0,890,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
44,1300.0,7,10,1.0,2.0,650,2,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0
45,2000.0,7,10,1.0,2.0,742,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0
46,2000.0,2,12,1.0,2.0,862,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
47,2100.0,2,14,1.0,3.0,1300,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
48,1300.0,0,12,1.0,2.0,805,2,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0
49,2600.0,2,14,2.0,2.0,1000,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0
50,2000.0,7,7,1.0,1.0,440,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
51,2500.0,2,16,2.0,3.0,1600,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0
52,2500.0,2,12,2.0,2.0,1028,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
53,2000.0,2,14,0.0,2.0,940,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1
54,1800.0,2,12,1.0,2.0,860,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1
55,1700.0,2,12,2.0,2.0,1100,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,1600.0,2,14,1.0,2.0,914,2,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1
57,2000.0,2,12,2.0,2.0,1100,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1
58,1500.0,2,12,2.0,2.0,1100,2,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1
59,1700.0,2,12,2.0,2.0,1100,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
60,1850.0,2,12,2.0,2.0,1100,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
61,1700.0,2,14,2.0,3.0,1200,2,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
62,1700.0,7,10,1.0,2.0,904,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
63,1800.0,2,14,2.0,2.0,1300,2,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
64,1600.0,2,12,1.0,2.0,950,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,1600.0,2,12,2.0,2.0,1100,2,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
66,1400.0,7,10,2.0,2.0,650,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0
67,1000.0,0,12,2.0,2.0,1000,2,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1
68,2700.0,2,12,0.0,2.0,1115,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0
69,1400.0,7,12,1.0,2.0,850,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
70,1500.0,2,10,1.0,1.0,717,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
71,1350.0,0,12,1.0,2.0,850,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,3000.0,7,12,0.0,2.0,864,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0
73,1300.0,7,12,1.0,2.0,1150,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0
74,2500.0,2,12,0.0,2.0,1500,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
75,7000.0,2,10,1.0,2.0,1076,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0
76,1300.0,0,12,1.0,2.0,1000,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0
77,900.0,0,10,1.0,1.0,550,2,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
78,1300.0,2,12,1.0,2.0,967,2,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0
79,2500.0,2,14,1.0,2.0,1184,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0
80,1300.0,2,10,1.0,2.0,1050,2,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1
81,7800.0,2,10,1.0,2.0,1076,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0
82,1700.0,2,12,0.0,3.0,1267,2,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0
83,2000.0,2,12,1.0,3.0,1267,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0
84,2100.0,7,10,0.0,2.0,999,2,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0
85,1750.0,2,12,2.0,2.0,1121,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0
86,2000.0,0,10,1.0,2.0,872,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1
87,1300.0,0,12,0.0,2.0,860,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
88,1100.0,2,12,1.0,2.0,904,2,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
89,1300.0,0,12,1.0,2.0,835,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0
90,850.0,0,12,0.0,2.0,750,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,1400.0,2,12,1.0,2.0,1129,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1
92,1900.0,7,10,1.0,2.0,1132,2,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1
